first_name,last_name,date_of_birth,school_name,teacher_name,competitor_number,competition_code,competition_name,age_group,level,dance_type
Aoife,Kelly,2018-04-12,Scoil Rince Ni Bhriain,Colm Murphy,101,1,Beginner Under 6 Reel,Under 6,Beginner,reel
Aoife,Kelly,2018-04-12,Scoil Rince Ni Bhriain,Colm Murphy,101,2,Beginner Under 6 Light Jig,Under 6,Beginner,jig
Aoife,Kelly,2018-04-12,Scoil Rince Ni Bhriain,Colm Murphy,101,3,Beginner Under 6 Slip Jig,Under 6,Beginner,slip_jig
Ciara,Walsh,2018-07-23,McGrath Academy,Fiona McGrath,201,1,Beginner Under 6 Reel,Under 6,Beginner,reel
Ciara,Walsh,2018-07-23,McGrath Academy,Fiona McGrath,201,2,Beginner Under 6 Light Jig,Under 6,Beginner,jig
Ciara,Walsh,2018-07-23,McGrath Academy,Fiona McGrath,201,3,Beginner Under 6 Slip Jig,Under 6,Beginner,slip_jig
Saoirse,Byrne,2019-01-15,Claddagh School,Sean Claddagh,301,1,Beginner Under 6 Reel,Under 6,Beginner,reel
Saoirse,Byrne,2019-01-15,Claddagh School,Sean Claddagh,301,2,Beginner Under 6 Light Jig,Under 6,Beginner,jig
Maeve,Fitzgerald,2018-09-03,Claddagh School,Sean Claddagh,302,1,Beginner Under 6 Reel,Under 6,Beginner,reel
Maeve,Fitzgerald,2018-09-03,Claddagh School,Sean Claddagh,302,3,Beginner Under 6 Slip Jig,Under 6,Beginner,slip_jig
Roisin,Doyle,2018-11-08,Scoil Rince Ni Bhriain,Colm Murphy,104,1,Beginner Under 6 Reel,Under 6,Beginner,reel
Roisin,Doyle,2018-11-08,Scoil Rince Ni Bhriain,Colm Murphy,104,2,Beginner Under 6 Light Jig,Under 6,Beginner,jig
Roisin,Doyle,2018-11-08,Scoil Rince Ni Bhriain,Colm Murphy,104,3,Beginner Under 6 Slip Jig,Under 6,Beginner,slip_jig
Aine,Byrne,2019-03-25,Scoil Rince Ni Bhriain,Colm Murphy,114,1,Beginner Under 6 Reel,Under 6,Beginner,reel
Aine,Byrne,2019-03-25,Scoil Rince Ni Bhriain,Colm Murphy,114,2,Beginner Under 6 Light Jig,Under 6,Beginner,jig
Cara,Healy,2018-05-20,Harney Academy,Bridget Harney,415,1,Beginner Under 6 Reel,Under 6,Beginner,reel
Cara,Healy,2018-05-20,Harney Academy,Bridget Harney,415,2,Beginner Under 6 Light Jig,Under 6,Beginner,jig
Cara,Healy,2018-05-20,Harney Academy,Bridget Harney,415,3,Beginner Under 6 Slip Jig,Under 6,Beginner,slip_jig
Ruairi,Doyle,2018-06-15,McGrath Academy,Fiona McGrath,211,1,Beginner Under 6 Reel,Under 6,Beginner,reel
Ruairi,Doyle,2018-06-15,McGrath Academy,Fiona McGrath,211,2,Beginner Under 6 Light Jig,Under 6,Beginner,jig
Oonagh,Walsh,2018-02-08,Harney Academy,Bridget Harney,421,1,Beginner Under 6 Reel,Under 6,Beginner,reel
Oonagh,Walsh,2018-02-08,Harney Academy,Bridget Harney,421,2,Beginner Under 6 Light Jig,Under 6,Beginner,jig
Sarah,Griffin,2019-05-20,Harney Academy,Bridget Harney,424,1,Beginner Under 6 Reel,Under 6,Beginner,reel
Sarah,Griffin,2019-05-20,Harney Academy,Bridget Harney,424,2,Beginner Under 6 Light Jig,Under 6,Beginner,jig
Niamh,O'Sullivan,2016-03-22,Scoil Rince Ni Bhriain,Colm Murphy,102,4,Beginner Under 8 Reel,Under 8,Beginner,reel
Niamh,O'Sullivan,2016-03-22,Scoil Rince Ni Bhriain,Colm Murphy,102,5,Beginner Under 8 Light Jig,Under 8,Beginner,jig
Niamh,O'Sullivan,2016-03-22,Scoil Rince Ni Bhriain,Colm Murphy,102,6,Beginner Under 8 Slip Jig,Under 8,Beginner,slip_jig
Orla,McCarthy,2016-08-14,McGrath Academy,Fiona McGrath,202,4,Beginner Under 8 Reel,Under 8,Beginner,reel
Orla,McCarthy,2016-08-14,McGrath Academy,Fiona McGrath,202,5,Beginner Under 8 Light Jig,Under 8,Beginner,jig
Orla,McCarthy,2016-08-14,McGrath Academy,Fiona McGrath,202,6,Beginner Under 8 Slip Jig,Under 8,Beginner,slip_jig
Fionnuala,Gallagher,2016-05-30,Scoil Rince Ni Bhriain,Colm Murphy,103,4,Beginner Under 8 Reel,Under 8,Beginner,reel
Fionnuala,Gallagher,2016-05-30,Scoil Rince Ni Bhriain,Colm Murphy,103,5,Beginner Under 8 Light Jig,Under 8,Beginner,jig
Fionnuala,Gallagher,2016-05-30,Scoil Rince Ni Bhriain,Colm Murphy,103,6,Beginner Under 8 Slip Jig,Under 8,Beginner,slip_jig
Caoimhe,Ryan,2017-02-19,Harney Academy,Bridget Harney,401,4,Beginner Under 8 Reel,Under 8,Beginner,reel
Caoimhe,Ryan,2017-02-19,Harney Academy,Bridget Harney,401,5,Beginner Under 8 Light Jig,Under 8,Beginner,jig
Aisling,Brennan,2016-12-01,Claddagh School,Sean Claddagh,303,4,Beginner Under 8 Reel,Under 8,Beginner,reel
Aisling,Brennan,2016-12-01,Claddagh School,Sean Claddagh,303,6,Beginner Under 8 Slip Jig,Under 8,Beginner,slip_jig
Ava,Lynch,2017-10-11,Scoil Rince Ni Bhriain,Colm Murphy,115,4,Beginner Under 8 Reel,Under 8,Beginner,reel
Ava,Lynch,2017-10-11,Scoil Rince Ni Bhriain,Colm Murphy,115,5,Beginner Under 8 Light Jig,Under 8,Beginner,jig
